"","Compound name","Floxed-ND1","Floxed-ND2","Floxed-ND3","Floxed-ND4","Floxed-HF1","Floxed-HF2","Floxed-HF3","Floxed-HF4","cKO-ND1","cKO-ND2","cKO-ND3","cKO-ND4","cKO-HF1","cKO-HF2","cKO-HF3","cKO-HF4"
"41","2,4-Diaminobutyric acid",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.67306818181818e-05,1.83731438721137e-05,2.25836585365853e-05,2.22044604925031e-16,1.948986328125e-05,5.92569746376811e-05,6.49040076335879e-05,0.000101809333333333,9.93255434782608e-05,4.17789961389961e-05,9.43254789272033e-05,7.69751581027669e-05,1.42768253968254e-05
"42","2,6-Diaminopimelic acid",0.000135270683453238,0.000139010342857143,0.000224609430604982,0.000188389242424242,0.000175753570159858,0.000207364202626641,4.13712450592886e-05,4.921955078125e-05,0.000200115887681159,0.000223198492366413,0.00016868219047619,0.00014911884057971,0.000307802316602316,0.000305285555555556,0.000193767786561265,7.98203769841268e-05
"43","2-Amino-2-(hydroxymethyl)-1,3-propanediol",4.83978776978418e-05,0.000110664247619047,0.000151386263345196,5.48828787878787e-05,0.000240543055062167,0.00012692617260788,0.000104708023715415,5.197294921875e-05,0.000152772916666667,0.000134125133587787,6.37921333333332e-05,0.000108875778985507,0.000668657953667954,0.00021234082375479,0.000323660889328064,0.000163423194444444
"44","2-Amino-2-methyl-1,3-propanediol",4.82675000000001e-05,4.67735619047618e-05,4.50375444839857e-05,5.12065909090908e-05,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,4.55303260869565e-05,5.0987824427481e-05,5.16627428571427e-05,4.83039311594203e-05,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"45","2-Aminoisobutyric acid
2-Aminobutyric acid",0.000292748471223022,0.000223882799999999,0.000305663790035587,0.000406711647727272,0.000733828330373002,0.00116947681050656,0.000459186976284586,0.00090482974609375,0.000374393351449275,0.000803949541984735,0.00042991537142857,0.000517340398550724,0.000980923416988417,0.00121033289272031,0.000741446640316207,0.000668080813492062
"46","2-Arachidonoylglycerol",0.00103822330078125,0.00106687720883534,0.00110274370517928,0.000731647973733581,0.00159245627522936,0.00291554818345324,0.00414056672316383,0.0031310977935943,0.000807180621118012,0.000619498984962406,0.000845269727272728,0.00120745833333333,0.00827491305447469,0.00187519611650485,0.0018097219434629,0.00204224316205534
"47","2-C-Methylerythritol 4-phosphate",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.57449427480917e-05,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"48","2-Deoxyribonic acid",3.31030035971224e-05,3.52905714285713e-05,3.61965836298932e-05,2.99706628787878e-05,7.43609591474245e-05,5.10590431519698e-05,4.22136363636364e-05,4.580955078125e-05,5.58390398550724e-05,2.22044604925031e-16,3.33719428571428e-05,3.64082246376811e-05,8.09051351351351e-05,4.56610536398468e-05,8.50165415019764e-05,7.61582142857141e-05
"49","2-Deoxyribose 1-phosphate",4.38818345323742e-05,2.66414476190476e-05,2.22044604925031e-16,9.66579356060604e-05,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,4.469794921875e-05,2.40388224637681e-05,8.67197900763361e-05,0.000157906304761904,0.000113005543478261,2.22044604925031e-16,1.83942720306514e-05,2.22044604925031e-16,2.22044604925031e-16
"50","2-Hydroxy-4-methylvaleric acid
2-Hydroxy-3-methylvaleric acid",0.000250787553956835,0.00011372,0.000250177846975089,0.000298882613636363,0.000100267690941385,0.000243740562851782,8.8060415019763e-05,0.00011320751953125,0.000334764746376811,0.000347072767175573,0.000262968457142856,0.000190069637681159,0.00014738805019305,0.00150378544061303,0.000365030474308301,8.99938293650792e-05
